id,title,flag,score,n_stmt,n_proof,theorem,lemma,corollary,proposition,claim,definition,observation,fact,conjecture,np_hard,lower_bound,upper_bound,big_o,omega,theta,approx_ratio,whp,regret,dp,invariant,convergence,competitive,worst_case,sketch,cost_model,cardinality,learned,pdf,source
sigmod26-136,Improved Lower Bounds for Privacy under Continual Release,True,72,30,20,10,13,5,0,0,2,0,0,0,0,114,24,86,0,5,32,1,0,32,3,0,0,1,3,0,1,0,ok,s2oa
sigmod26-175,On Sketching Trimmed Statistics,True,72,30,20,5,19,3,0,0,3,0,0,0,0,14,7,0,21,17,23,13,0,0,0,0,0,0,23,0,0,0,ok,upw
sigmod26-114,FPT Parameterisations of Fractional and Generalised Hypertree Width,True,71,30,20,5,7,3,1,3,11,0,0,0,0,0,4,0,0,0,6,0,0,0,12,0,0,0,1,0,3,0,ok,upw
sigmod26-371,The Space-Time Complexity of Sum-Product Queries,True,71,30,20,1,18,0,0,0,14,0,0,1,0,9,4,113,1,0,0,0,0,0,0,0,0,7,0,0,11,0,ok,arxiv
sigmod26-104,Faster Relational Algorithms Using Geometric Data Structures,True,68,30,18,8,19,0,0,0,4,0,0,0,0,2,2,249,13,9,90,15,0,0,0,0,0,1,0,0,0,0,ok,arxiv
sigmod26-115,Frequency Moments in Noisy Streaming and Distributed Data under Mismatch Ambiguity,True,68,30,18,5,9,2,0,7,5,0,2,0,0,26,5,46,18,7,34,0,0,0,0,0,0,1,0,0,1,0,ok,arxiv
sigmod26-289,Clustering with Set Outliers and Applications in Relational Clustering,True,66,29,18,12,13,1,0,0,3,0,0,0,0,0,0,182,3,5,87,2,0,1,0,0,0,2,0,0,1,0,ok,arxiv
sigmod26-222,Size Bound-Adorned Datalog,True,64,30,17,11,1,6,6,0,20,0,0,0,0,0,18,20,0,0,0,0,0,0,1,0,0,4,6,0,10,0,ok,arxiv
sigmod26-243,Towards Output-Optimal Uniform Sampling and Approximate Counting for Join-Project Queries,True,64,28,17,17,8,0,2,0,1,0,0,0,0,37,12,122,48,22,42,18,0,0,0,0,0,5,0,0,0,0,ok,arxiv
sigmod26-307,Efficient Exact Resistance Distance Computation on Small-Treewidth Graphs: A Labelling Approach,True,64,23,20,1,19,0,0,0,3,0,0,0,0,0,4,54,0,0,2,0,0,0,0,0,0,1,4,0,0,0,ok,arxiv
